"filename", "language", "XML", "SQL", "JavaScript", "Markdown", "HTML", "Vue", "YAML", "Java", "SCSS", "JSON", "Shell Script", "Properties", "Batch", "Docker", "comment", "blank", "total"
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\entity\ProductProperties.java", "Java", 0, 0, 0, 0, 0, 0, 0, 38, 0, 0, 0, 0, 0, 0, 67, 17, 122
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\entity\ProductServices.java", "Java", 0, 0, 0, 0, 0, 0, 0, 24, 0, 0, 0, 0, 0, 0, 36, 9, 69
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\entity\ProductTemplate.java", "Java", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 31, 7, 60
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\model\Commands.java", "Java", 0, 0, 0, 0, 0, 0, 0, 11, 0, 0, 0, 0, 0, 0, 9, 3, 23
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\model\ProductModel.java", "Java", 0, 0, 0, 0, 0, 0, 0, 20, 0, 0, 0, 0, 0, 0, 9, 3, 32
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\model\ProductTemplateModel.java", "Java", 0, 0, 0, 0, 0, 0, 0, 47, 0, 0, 0, 0, 0, 0, 6, 15, 68
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\model\Properties.java", "Java", 0, 0, 0, 0, 0, 0, 0, 18, 0, 0, 0, 0, 0, 0, 9, 3, 30
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\product\model\Services.java", "Java", 0, 0, 0, 0, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 9, 3, 25
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\domain\protocol\Protocol.java", "Java", 0, 0, 0, 0, 0, 0, 0, 49, 0, 0, 0, 0, 0, 0, 59, 20, 128
"d:\work\workspace\thinglinks\thinglinks-api\thinglinks-api-link\src\main\java\com\mqttsnet\thinglinks\link\api\factory\RemoteDeviceActionFallbackFactory.java", "Java", 0, 0, 0, 0, 0, 0, 0, 22, 0, 0, 0, 0, 0, 0, 5, 4, 31
